job_id,job_title,company,location,experience_level,salary_inr,skills_required,date_posted,remote,industry,year,month,year_month,salary_lpa,level_numeric,skill_count,skills_clean,skills
JOB00001,AI Engineer,Freshworks,Kolkata,Entry,313112.0,"NLP, Vector Databases, PyTorch, LLMs, Python, Computer Vision",2022-06-28,Yes,IT,2022,6,2022-06,3.13,1,6,"NLP, Vector Databases, PyTorch, Llms, Python, Computer Vision","NLP, Vector Databases, PyTorch, Llms, Python, Computer Vision"
JOB00002,Machine Learning Engineer,TechCorp India,Hyderabad,Mid,943962.0,"Deep Learning, Python, Azure, Scikit-learn, CI/CD, MLOps, Model Deployment, AWS",2023-07-24,Hybrid,E-commerce,2023,7,2023-07,9.44,2,8,"Deep Learning, Python, Azure, Scikitlearn, Cicd, Mlops, Model Deployment, Aws","Deep Learning, Python, Azure, Scikitlearn, Cicd, Mlops, Model Deployment, Aws"
JOB00003,Frontend Developer,Microsoft India,Gurgaon,Senior,1826064.0,"CSS, React, GraphQL, Angular, JavaScript",2024-01-06,No,IT,2024,1,2024-01,18.26,3,5,"Css, React, Graphql, Angular, Javascript","Css, React, Graphql, Angular, Javascript"
JOB00004,Business Intelligence Analyst,Freshworks,Chennai,Lead,3624551.0,"Business Analysis, Tableau, Data Modeling, Power BI",2024-01-11,Hybrid,IT,2024,1,2024-01,36.25,4,4,"Business Analysis, Tableau, Data Modeling, Power Bi","Business Analysis, Tableau, Data Modeling, Power Bi"
JOB00005,Data Scientist,Swiggy,Delhi NCR,Mid,1003445.0,"Big Data, TensorFlow, Machine Learning, Statistics",2023-07-24,Yes,Healthcare,2023,7,2023-07,10.03,2,4,"Big Data, TensorFlow, Machine Learning, Statistics","Big Data, TensorFlow, Machine Learning, Statistics"
JOB00006,Frontend Developer,Byju's,Chennai,Mid,1402729.0,"React, Vue.js, Angular, Webpack, Redux, CSS",2023-07-07,Hybrid,Healthcare,2023,7,2023-07,14.03,2,6,"React, Vue.Js, Angular, Webpack, Redux, Css","React, Vue.Js, Angular, Webpack, Redux, Css"
JOB00007,Cybersecurity Analyst,Freshworks,Delhi NCR,Entry,420087.0,"Firewalls, Penetration Testing, SIEM, Network Security",2023-03-09,Yes,Fintech,2023,3,2023-03,4.2,1,4,"Firewalls, Penetration Testing, Siem, Network Security","Firewalls, Penetration Testing, Siem, Network Security"
JOB00008,DevOps Engineer,Freshworks,Kolkata,Lead,3848158.0,"AWS, GCP, Monitoring, Azure, Bash Scripting, CI/CD, Terraform",2024-05-27,No,Finance,2024,5,2024-05,38.48,4,7,"Aws, GCP, Monitoring, Azure, Bash Scripting, Cicd, Terraform","Aws, GCP, Monitoring, Azure, Bash Scripting, Cicd, Terraform"
JOB00009,Data Analyst,Flipkart,Gurgaon,Principal,5569955.0,"SQL, Excel, Python, Statistics",2022-11-24,Yes,E-commerce,2022,11,2022-11,55.7,5,4,"Sql, Excel, Python, Statistics","Sql, Excel, Python, Statistics"
JOB00010,Full Stack Developer,Oracle India,Kolkata,Principal,5463143.0,"SQL, REST APIs, JavaScript, Python, MongoDB, CSS, React, Docker",2022-08-17,Yes,E-commerce,2022,8,2022-08,54.63,5,8,"Sql, Rest Apis, Javascript, Python, Mongodb, Css, React, Docker","Sql, Rest Apis, Javascript, Python, Mongodb, Css, React, Docker"
JOB00011,Data Scientist,Zoho,Chennai,Senior,2549805.0,"Pandas, Machine Learning, Scikit-learn, PyTorch, Data Visualization",2024-11-05,Yes,Healthcare,2024,11,2024-11,25.5,3,5,"Pandas, Machine Learning, Scikitlearn, PyTorch, Data Visualization","Pandas, Machine Learning, Scikitlearn, PyTorch, Data Visualization"
JOB00012,Product Manager,Accenture,Gurgaon,Mid,1265579.0,"Product Strategy, User Research, Data Analysis, Communication, A/B Testing, Scrum, Agile, SQL",2022-04-29,Yes,IT,2022,4,2022-04,12.66,2,8,"Product Strategy, User Research, Data Analysis, Communication, Ab Testing, Scrum, Agile, Sql","Product Strategy, User Research, Data Analysis, Communication, Ab Testing, Scrum, Agile, Sql"
JOB00013,Business Intelligence Analyst,Byju's,Chennai,Lead,2645149.0,"Power BI, Statistics, ETL, Excel, Data Modeling, Tableau, Business Analysis, Python",2023-03-10,Hybrid,Healthcare,2023,3,2023-03,26.45,4,8,"Power Bi, Statistics, Etl, Excel, Data Modeling, Tableau, Business Analysis, Python","Power Bi, Statistics, Etl, Excel, Data Modeling, Tableau, Business Analysis, Python"
