job_id,job_title,company,location,experience_level,salary_inr,skills_required,date_posted,remote,industry
JOB00001,AI Engineer,Freshworks,Kolkata,Entry,313112,"NLP, Vector Databases, PyTorch, LLMs, Python, Computer Vision",2022-06-28,Yes,IT
JOB00002,Machine Learning Engineer,TechCorp India,Hyderabad,Mid,943962,"Deep Learning, Python, Azure, Scikit-learn, CI/CD, MLOps, Model Deployment, AWS",2023-07-24,Hybrid,E-commerce
JOB00003,Frontend Developer,Microsoft India,Gurgaon,Senior,1826064,"CSS, React, GraphQL, Angular, JavaScript",2024-01-06,No,IT
JOB00004,Business Intelligence Analyst,Freshworks,Chennai,Lead,3624551,"Business Analysis, Tableau, Data Modeling, Power BI",2024-01-11,Hybrid,IT
JOB00005,Data Scientist,Swiggy,Delhi NCR,Mid,1003445,"Big Data, TensorFlow, Machine Learning, Statistics",2023-07-24,Yes,Healthcare
JOB00006,Frontend Developer,Byju's,Chennai,Mid,1402729,"React, Vue.js, Angular, Webpack, Redux, CSS",2023-07-07,Hybrid,Healthcare
JOB00007,Cybersecurity Analyst,Freshworks,Delhi NCR,Entry,420087,"Firewalls, Penetration Testing, SIEM, Network Security",2023-03-09,Yes,Fintech
JOB00008,DevOps Engineer,Freshworks,Kolkata,Lead,3848158,"AWS, GCP, Monitoring, Azure, Bash Scripting, CI/CD, Terraform",2024-05-27,No,Finance
JOB00009,Data Analyst,Flipkart,Gurgaon,Principal,5569955,"SQL, Excel, Python, Statistics",2022-11-24,Yes,E-commerce
JOB00010,Full Stack Developer,Oracle India,Kolkata,Principal,5463143,"SQL, REST APIs, JavaScript, Python, MongoDB, CSS, React, Docker",2022-08-17,Yes,E-commerce
JOB00011,Data Scientist,Zoho,Chennai,Senior,2549805,"Pandas, Machine Learning, Scikit-learn, PyTorch, Data Visualization",2024-11-05,Yes,Healthcare
JOB00012,Product Manager,Accenture,Gurgaon,Mid,1265579,"Product Strategy, User Research, Data Analysis, Communication, A/B Testing, Scrum, Agile, SQL",2022-04-29,Yes,IT
JOB00013,Business Intelligence Analyst,Byju's,Chennai,Lead,2645149,"Power BI, Statistics, ETL, Excel, Data Modeling, Tableau, Business Analysis, Python",2023-03-10,Hybrid,Healthcare
JOB00014,Full Stack Developer,TechCorp India,Mumbai,Senior,2418762,"AWS, Python, Node.js, REST APIs, JavaScript, React, Docker, HTML",2023-03-28,Hybrid,Fintech
JOB00015,Data Scientist,IBM India,Ahmedabad,Mid,770674,"Big Data, SQL, Machine Learning, Pandas",2023-05-03,Yes,EdTech
JOB00016,Data Analyst,Flipkart,Kolkata,Principal,5916806,"Tableau, Pandas, Data Visualization, Excel, SQL, Statistics, Business Intelligence",2023-12-27,No,Fintech
JOB00017,Data Scientist,HCL Technologies,Kolkata,Entry,331778,"NLP, SQL, Data Visualization, Machine Learning, TensorFlow, Scikit-learn, NumPy",2024-07-07,Yes,Healthcare
JOB00018,DevOps Engineer,Flipkart,Ahmedabad,Mid,779046,"Ansible, Kubernetes, Docker, Monitoring, Linux, Terraform, Bash Scripting",2022-12-07,No,Finance
JOB00019,Cybersecurity Analyst,Flipkart,Noida,Lead,2622967,"Incident Response, Network Security, Penetration Testing, SIEM, Firewalls",2023-08-08,Hybrid,Fintech
JOB00020,DevOps Engineer,Infosys,Bangalore,Mid,899122,"Azure, Docker, Linux, Ansible, Bash Scripting, CI/CD",2023-10-05,Hybrid,E-commerce
JOB00021,Cloud Architect,Accenture,Kolkata,Principal,4160320,"Networking, Azure, GCP, AWS",2022-05-20,Yes,EdTech
JOB00022,Software Engineer,Capgemini,Delhi NCR,Principal,5993594,"Agile, Python, Microservices, REST APIs",2023-06-19,Yes,Healthcare
JOB00023,Full Stack Developer,TCS,Noida,Mid,1404318,"AWS, MongoDB, Python, JavaScript, Node.js, SQL",2022-07-24,Yes,EdTech
JOB00024,Backend Developer,Byju's,Pune,Mid,1065962,"Django, Flask, FastAPI, Node.js",2024-06-16,Hybrid,Fintech
JOB00025,Cloud Architect,Zoho,Chennai,Entry,650152,"Terraform, Azure, GCP, Security, AWS, Microservices, Networking, Kubernetes",2023-08-01,Hybrid,Healthcare
JOB00026,Software Engineer,Amazon India,Hyderabad,Senior,2559919,"Spring Boot, Java, Python, Microservices, SQL, C++, Agile",2022-01-08,Hybrid,Healthcare
JOB00027,Data Analyst,Freshworks,Noida,Lead,3656957,"R, SQL, Excel, Business Intelligence, Statistics, Pandas, Data Visualization",2024-01-27,Yes,E-commerce
JOB00028,Data Analyst,Byju's,Kolkata,Entry,461616,"SQL, Statistics, Tableau, R, Excel, Business Intelligence",2023-12-26,Hybrid,Fintech
JOB00029,Data Analyst,Accenture,Pune,Mid,870395,"Data Visualization, SQL, Python, Statistics, Pandas",2024-04-23,Yes,Fintech
JOB00030,Machine Learning Engineer,Capgemini,Kolkata,Lead,2581211,"Scikit-learn, REST APIs, AWS, Kubernetes, Docker, FastAPI, Azure",2022-02-18,No,Healthcare
JOB00031,Cybersecurity Analyst,Cognizant,Gurgaon,Entry,446341,"Incident Response, Firewalls, Ethical Hacking, SIEM, Network Security, Penetration Testing",2023-06-19,No,IT
JOB00032,Machine Learning Engineer,Google India,Gurgaon,Principal,5322692,"CI/CD, FastAPI, Kubernetes, MLOps, Deep Learning, Azure",2022-08-25,Yes,Healthcare
JOB00033,Data Scientist,Amazon India,Gurgaon,Lead,2503546,"Spark, Data Visualization, Pandas, Scikit-learn, NLP, TensorFlow, SQL, Statistics",2022-05-24,No,Fintech
JOB00034,Cybersecurity Analyst,Byju's,Hyderabad,Entry,677358,"Ethical Hacking, Firewalls, Penetration Testing, SIEM, Incident Response, OWASP",2023-08-29,Yes,E-commerce
JOB00035,AI Engineer,Oracle India,Chennai,Lead,3920438,"Vector Databases, Computer Vision, Prompt Engineering, LangChain, Python",2023-09-15,No,EdTech
